"filename", "language", "JavaScript", "JSON", "SCSS", "XML", "CSS", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/index-7.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/index-8.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/index.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 2, 75
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/mission.js", "JavaScript", 218, 0, 0, 0, 0, 0, 0, 0, 4, 222
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/overview.js", "JavaScript", 388, 0, 0, 0, 0, 0, 0, 2, 10, 400
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/project-three.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/project-two.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/project.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 4, 21, 100
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/project/[id].js", "JavaScript", 355, 0, 0, 0, 0, 0, 0, 9, 19, 383
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/sirvices.js", "JavaScript", 205, 0, 0, 0, 0, 0, 0, 0, 4, 209
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/team-details.js", "JavaScript", 163, 0, 0, 0, 0, 0, 0, 0, 4, 167
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/team.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 4, 81
